CATEGORY,"ITEM NAME","ITEM CODE",UOM,QUANTITY,"SUB COST PRICE","TOTAL COST PRICE",WPP,"STD PRICE TO TRADE","STD PRICE TO COD","PRICE TO DISTRIBUTORS"
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 7.50-18",TB-SP-DR-035,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 9.5-24/9-24",TB-SP-DR-036,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 11.2-24/10-24",TB-SP-DR-037,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 12.4-24/11-24",TB-SP-DR-038,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 13.6-24/12-24",TB-SP-DR-039,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 14.9-24/13-24",TB-SP-DR-040,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 16.9-24/14-24",TB-SP-DR-041,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 18.4-24",TB-SP-DR-042,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 18.4-26/15-26",TB-SP-DR-043,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 23.1-26/18-26",TB-SP-DR-044,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 11.2-28/10-28",TB-SP-DR-045,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 12.4-28/11-28",TB-SP-DR-046,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 13.6-28/12-28",TB-SP-DR-047,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 14.9-28/13-28",TB-SP-DR-048,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 16.9-28/14-28",TB-SP-DR-049,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 16.9-30/14-30",TB-SP-DR-050,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 18.4-30/15-30",TB-SP-DR-051,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 16.9-34/14-34",TB-SP-DR-052,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 18.4-34/15-34",TB-SP-DR-053,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 12.4-38/11-38",TB-SP-DR-054,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 13.6-38/12-38",TB-SP-DR-055,TB-SP-DR-056,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 15.5-38",TB-SP-DR-057,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 16.9-38/14-38",TB-SP-DR-058,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 18.4-38/15-38",TB-SP-DR-059,Pc,0,,,0,,,
" DRAGON FARM & IMPLEMENT TUBES		","DRAGON Tube 20.8-38",TB-SP-DR-060,Pc,0,,,0,,,
"BRAKE PAD (ABS) XRM/WAVE 125","INNER TUBE (HOBE) 275X17",MP-LL-032,PCS,0,,,0,,,
"BRAKE PAD (ABS) XRM/WAVE 125","INNER TUBE (HOBE) 300X17",MP-LL-033,PCS,0,,,0,,,
"BRAKE PAD (ABS) XRM/WAVE 125","REAR SPROCKET  WAVE 110 34T",MP-LL-034,PCS,0,,,0,,,
"BRAKE PAD (ABS) XRM/WAVE 125","REAR SPROCKET WAVE 110 36T",MP-LL-035,PCS,0,,,0,,,
