CATEGORY,"ITEM NAME","ITEM CODE",UOM,QUANTITY,"SUB COST PRICE","TOTAL COST PRICE",WPP,"STD PRICE TO TRADE","STD PRICE TO COD","PRICE TO DISTRIBUTORS"
"Cord Chemicals","BULLDOG ALL PURPOSE 48x3GM",HW-CO-001,Carton,0,0,0,0,0,0,0
"Cord Chemicals","BULLDOG SHOES 48x3GM",HW-CO-002,Carton,0,0,0,0,0,0,0
"Cord Chemicals","BULLDOG STEEL 48x3GM",HW-CO-003,Carton,0,0,0,0,0,0,0
"Cord Chemicals","BULLDOG WOOD & LEATHER 48x3GM",HW-CO-004,Carton,0,0,0,0,0,0,0
"Cord Chemicals","CORD MARINE EPOXY ALL PURPOSE 2x1GAL (Pair)",HW-CO-005,Carton,0,0,0,0,0,0,0
"Cord Chemicals","CORD MARINE EPOXY ALL PURPOSE 6x1QT (Pair)",HW-CO-006,Carton,0,0,0,0,0,0,0
"Cord Chemicals","CORD MARINE EPOXY ALL PURPOSE 12x1PT (Pair)",HW-CO-007,Carton,0,0,0,0,0,0,0
"Cord Chemicals","CORD MARINE EPOXY ALL PURPOSE 24x1/2PT (Pair)",HW-CO-008,Carton,0,0,0,0,0,0,0
"Cord Chemicals","CORD MARINE EPOXY ALL PURPOSE 48x1/4PT (Pair)",HW-CO-009,Carton,0,0,0,0,0,0,0
"Cord Chemicals","CORD ALL PURPOSE 24x40GM",HW-CO-010,Carton,0,0,0,0,0,0,0
"Cord Chemicals","CORD EPOXY STEEL  48x15GM",HW-CO-011,Carton,0,0,0,0,0,0,0
"Cord Chemicals","CORD EPOXY STEELL 24x40GM",HW-CO-012,Carton,0,0,0,0,0,0,0
"Cord Chemicals","CORD MARINE EPOXY HI-IMPACT NON-SAG PUTTY 2x1GAL (Pair)",HW-CO-013,Carton,0,0,0,0,0,0,0
"Cord Chemicals","CORD MARINE EPOXY HI-IMPACT NON-SAG PUTTY 6x1QT (Pair)",HW-CO-014,Carton,0,0,0,0,0,0,0
"Cord Chemicals","CORD MARINE EPOXY HI-IMPACT NON-SAG PUTTY 24x1/2PT (Pair)",HW-CO-015,Carton,0,0,0,0,0,0,0
"Cord Chemicals","CORD MARINE EPOXY HI-IMPACT NON-SAG PUTTY 48x1/4PT (Pair)",HW-CO-016,Carton,0,0,0,0,0,0,0
"Cord Chemicals","WATER STOP WET & DRY SEALANT 24x30GM",HW-CO-017,Carton,0,0,0,0,0,0,0
"Cord Chemicals","WATER STOP WET & DRY SEALANT 24x30GM",HW-CO-017,Carton,0,0,0,0,0,0,0
